name,cpg,brandCode,category,topBrand,categoryCode,_id,barcode,cpg_ref,cpg_id
SNYDERS OF HANOVER,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",SNYDERS OF HANOVER,Snacks,False,,5afda65de4b0c11cfecd49fb,511111004561,Cogs,5a734034e4b0d58f376be874
Powerade,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",,,,,5332fa7ee4b03c9a25efd230,511111702894,Cpgs,5332f5ebe4b03c9a25efd0a8
Good Seasons,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",GOOD SEASONS,Condiments & Sauces,False,,57ebbfafe4b0ac389136a332,511111002154,Cogs,559c2234e4b06aca36af13c6
test brand @1598633602279,"{'$ref': 'Cogs', '$id': {'$oid': '5f493682be37ce52f8314fcb'}}",TEST BRANDCODE @1598633602279,Baking,,BAKING,5f493682be37ce52f8314fce,511111115922,Cogs,5f493682be37ce52f8314fcb
Pizza Pizza Pizza,"{'$ref': 'Cpgs', '$id': {'$oid': '57ace90fe4b057c992a316ab'}}",,,,,57ace91ae4b057c992a316ac,511111602552,Cpgs,57ace90fe4b057c992a316ab
Revolver,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",REVOLVER,Beer Wine Spirits,,,5a5d2431e4b06ba572cf24a1,511111200246,Cogs,5332f709e4b03c9a25efd0f1
Keystone Light,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",KEYSTONE LIGHT,Beer Wine Spirits,False,,57e5810ce4b0ac389136a307,511111802280,Cogs,5332f709e4b03c9a25efd0f1
Our Family,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ac'}}",,,,,5332f5f2e4b03c9a25efd0ab,511111604037,Cpgs,5332f5f3e4b03c9a25efd0ac
Fruit Roll-Ups™,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",BETTY CROCKER FRUIT ROLL UPS,Snacks,,,5db9f9cca60b87376833e36b,511111806226,Cogs,5332f5f3e4b03c9a25efd0ae
test brand @1607639232356,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",TEST BRANDCODE @1607639232356,Candy & Sweets,False,CANDY_AND_SWEETS,5fd2a0c0be37ce49eb72c0f4,511111118169,Cogs,5332fa12e4b03c9a25efd1e7
